x,y,z,vx,vy,vz
-9.145769098173937e-01,-2.139787696492059e+00,1.096478645540186e-01,6.173065267827945e-01,-2.089970691166187e-01,-1.032011999773918e-02
-4.624538450305061e-01,4.534008674559225e-01,-1.063628603492766e-01,-1.997271748754303e-01,-4.126003384756609e-01,1.273553923149257e-01
-1.057487541182705e+00,-5.325219816214759e-01,3.844716946226086e-02,2.713558149117241e-01,-4.601642209613258e-01,-5.094129458387376e-02
-2.025898833953119e+00,-3.299698770783761e-01,1.274166430749931e-01,1.397146453103106e-01,-6.039461208367923e-01,-3.319275923963948e-02
2.852106717281960e-01,1.699404815810200e+00,-1.123774240206966e-01,-6.451903317051234e-01,-3.025617599400023e-05,6.070605211331803e-03
-3.198197746190725e+00,2.193714843164666e+00,1.834195818039170e-02,-2.902793828989048e-01,-4.684798332007836e-01,8.137658522498520e-04
-6.794300648713429e-01,1.062962646303326e+00,-2.932744221397025e-02,-4.860623276184874e-01,-3.557050641677952e-01,4.659663266420393e-02
-7.092463390503575e-01,-1.581688073179705e-01,3.174469850711149e-02,1.707989060519176e-01,-3.930478114632582e-01,-7.566425876626545e-02
2.243160189689916e+00,-1.649313572188618e+00,-5.735113571548087e-02,3.369906264416752e-01,5.047011266982260e-01,5.865852690423124e-03
3.941216448688095e+00,2.376359820978205e+00,9.213494362040675e-02,-2.752803484319706e-01,4.301804111695943e-01,-1.102447509019967e-03
-1.889136518340675e+00,-1.861572045088051e+00,1.448283387301201e-01,4.475780868118868e-01,-4.188507277485494e-01,-2.495347785276016e-02
1.428860497589204e+00,-7.435067038039660e-01,3.459708423034635e-02,1.737927838546185e-01,5.686626015657361e-01,-3.761919899046242e-02
4.269813922873366e-01,7.475586474085772e-01,1.011774020682419e-01,-5.225551738129247e-01,2.247431943695800e-01,-1.535810676931393e-01
1.650057648582558e+00,2.177365679898935e+00,5.606384984176976e-02,-6.324998701377514e-01,2.362247183665147e-01,2.837693671984082e-02
-2.593229302705694e-01,-5.750854089191272e-01,6.410322862262809e-02,5.641681668394194e-01,-6.144315713388773e-02,-1.145397667650392e-01
-2.036888768788297e+00,8.510273374762195e-01,1.425710390679810e-01,-2.095884482902528e-01,-5.849096032033880e-01,-3.650288589686426e-02
-2.528637594156098e-01,-5.033360071861048e-01,1.850606337828759e-03,4.728374884568020e-01,-1.587318641327641e-01,1.144256700249849e-01
