x,y,z,vx,vy,vz
-9.451297296299948e-01,-2.128956076642043e+00,1.101146572495086e-01,6.048322871348075e-01,-2.241624026754463e-01,-8.322182288774564e-03
-4.515950063710524e-01,4.732274728559079e-01,-1.120885698622276e-01,-2.335997082517354e-01,-3.809445371718773e-01,1.017164360036144e-01
-1.070683435515400e+00,-5.091189288656416e-01,4.072512875739418e-02,2.563503241607605e-01,-4.753951009291227e-01,-4.032969178859767e-02
-2.032456202320679e+00,-2.996700363293380e-01,1.289107631407804e-01,1.225608217688970e-01,-6.079058777730895e-01,-2.656795322622279e-02
3.172395402931866e-01,1.698540106799778e+00,-1.126789264778861e-01,-6.357937241751453e-01,3.359604590147020e-02,5.653069360006659e-03
-3.183486303532933e+00,2.217024292584659e+00,1.830531390391055e-02,-2.981517071048544e-01,-4.638762928972863e-01,6.515253614831194e-04
-6.549567370140239e-01,1.080217389530317e+00,-3.141831536019496e-02,-4.927402559329819e-01,-3.346444815293880e-01,3.711166585252136e-02
-7.171214041377384e-01,-1.380307761490977e-01,3.510676275119919e-02,1.438289652074183e-01,-4.108159825222298e-01,-5.933220227112798e-02
2.226053266152395e+00,-1.674386754600845e+00,-5.761513617951925e-02,3.472451321698299e-01,4.981665449418205e-01,4.693120966223787e-03
3.954865683765370e+00,2.354770958796868e+00,9.218454147281525e-02,-2.706826495284033e-01,4.333583679683661e-01,-8.815440066434610e-04
-1.911310484562557e+00,-1.840406027217283e+00,1.459502471637210e-01,4.393291178091535e-01,-4.277233461970321e-01,-1.993115437820726e-02
1.419362720441317e+00,-7.716925390399791e-01,3.629344029389868e-02,2.058442543453463e-01,5.584607006107493e-01,-3.020073402974836e-02
4.521713792691184e-01,7.358069222129018e-01,1.080228773448999e-01,-4.885984001921252e-01,2.440513909883796e-01,-1.208995405737459e-01
1.681353071228608e+00,2.165123345079407e+00,5.458144407163857e-02,-6.055665512705179e-01,2.635544237444455e-01,2.615259339374067e-02
-2.863607596524451e-01,-5.707920039592550e-01,6.915290477121946e-02,5.189136407193765e-01,-1.068855847844702e-01,-8.876866683714360e-02
-2.026047582128123e+00,8.801441540219762e-01,1.442159058864808e-01,-2.239934111915938e-01,-5.796764226117658e-01,-2.927144664619858e-02
-2.757086231466517e-01,-4.949174132247978e-01,-3.163247466691719e-03,4.412192752112556e-01,-1.778457335234267e-01,8.766223416954363e-02
1.775231729112746e-01,-1.818935724402636e+00,-1.296165514341524e-02,6.116726490056710e-01,8.369454209130686e-02,-1.707050767660092e-02
6.504775160413834e-01,-8.295438503744066e-01,-9.016105381353398e-02,4.459182150190345e-01,4.630475804988998e-01,9.734620487570309e-02
-1.440481913777230e-01,-7.066461594884736e-01,1.005711132306586e-01,5.486155398083790e-01,6.046472907197721e-03,-1.339944375432015e-01
-3.217676786326746e-01,5.574523116086421e-01,-1.241671246727590e-01,-4.179560429004477e-01,-1.893840996258847e-01,1.317111078794069e-01
7.681259917271049e-01,-3.119439879017127e+00,-8.230489505693839e-02,5.721791748232444e-01,1.598398323658041e-01,1.511591821321302e-02
9.549330924359076e-02,8.905149667991882e-01,1.207913462057368e-01,-5.140069299564330e-01,7.813237690790129e-02,-8.225563568269094e-02
-8.364338566973750e-01,1.773658362392986e+00,1.424634520836404e-01,-5.415710936644410e-01,-2.996094706374350e-01,-2.198920272460617e-02
8.351665550859590e-02,1.083280132195605e+00,1.370705415729629e-01,-6.022375823924522e-01,-3.233782607498980e-02,-1.215964234264337e-01
-1.820170663459027e+00,7.017464094496907e-01,1.018343851748435e-01,-2.452019671899788e-01,-7.063997573868646e-01,3.676079986722671e-02
3.043890773209765e-01,-1.263471120680738e-01,-4.045819624515759e-02,1.381891933132519e-01,1.820747365620687e-01,1.059847459354721e-01
1.217056339751466e+00,8.944662174553801e-01,1.034865609375266e-01,-3.479912469096246e-01,6.123375515966570e-01,-3.336814403212988e-02
-3.592775530998162e-01,-9.203342978875206e-02,-1.080350195024223e-01,5.432212374648614e-02,-3.310892635046411e-01,2.097461325495885e-01
-2.318571276695799e+00,5.618095675579065e-01,-1.020739401013330e-01,-1.365105010309144e-01,-6.631739013525517e-01,2.999667842329158e-02
-1.322900375623543e+00,3.318717154403032e-01,-1.437057970977630e-01,-1.388526541081920e-01,-5.881850665977923e-01,7.055734033059667e-02
-3.261620894053215e-02,-1.275482403852644e+00,-7.073294507607381e-03,5.574793933331637e-01,8.508953181940214e-02,9.380260821502010e-03
-1.186297739060258e+00,9.505834814195409e-01,1.189171718690229e-01,-3.212975386116584e-01,-4.867306077204272e-01,-7.118819125084914e-02
2.458507099593667e+00,3.951668273452251e+00,9.008684599991633e-02,-4.365006884811888e-01,2.593184799059191e-01,-1.202389847696901e-03
2.044822264045055e+00,-1.267992823895562e+00,-7.001026457067624e-02,2.994072070399665e-01,5.480797469869176e-01,1.542676233408508e-02
1.193680985974760e+00,-5.274454248901888e-01,-2.211324167095675e-02,2.121351290046170e-01,5.717709750800620e-01,-4.037901849800309e-02
1.798102553842205e+00,1.185015122721106e+00,-1.054624525891082e-01,-3.570319204391722e-01,4.979755225184392e-01,1.399522161615268e-02
1.246409535691813e+00,-8.768108873983876e-01,3.145309330301334e-02,3.500373880175843e-01,4.942552906885119e-01,-1.205584376310139e-01
6.984306699027062e-01,-1.767486405970648e+00,-1.311697621819148e-01,5.766755425970284e-01,2.571801809477154e-01,2.605478739110936e-02
4.637737227677226e-01,-3.618653023612022e-01,-7.493522072931867e-02,2.721979970658993e-01,2.852910615099605e-01,-5.501927792993643e-02
-1.023271798886990e-01,1.822844697186372e-01,-1.319665752922843e-01,-1.558152211096548e-01,-1.348915513343190e-01,1.738669689407353e-01
-1.549601235874624e+00,-2.453260912291399e+00,7.762946107038564e-02,5.118281000590595e-01,-3.051256001677925e-01,-8.022399466819615e-03
-1.177664068159134e+00,-1.837549884226731e+00,6.178925602014649e-02,5.477414750120720e-01,-3.125745654078407e-01,-4.907680598881541e-03
-2.647024252155077e-02,-6.480643126789418e-02,-8.715518437901233e-02,9.560813903622443e-02,1.039902380327365e-02,9.641644035711752e-02
1.295856023493574e-01,-1.768739976188732e+00,-1.251458168950960e-01,6.366792034328816e-01,4.903352507345846e-02,5.310623717569195e-02
-1.828751874195629e+00,-1.030191991427542e+00,-5.634526340181924e-02,3.357464132598936e-01,-5.326967596109566e-01,1.587205169338808e-02
1.247506036906936e+00,-1.067941684485115e+00,3.289265416035683e-02,3.175580766976147e-01,5.189189712290161e-01,-1.571478742236438e-02
-5.370324836672129e-01,3.807455842641834e-01,-1.248765467357480e-01,-1.375227020813480e-01,-3.827858598764401e-01,1.332280967981923e-01
