x,y,z,vx,vy,vz
-1.004366736788335e+00,-2.105043192647305e+00,1.107420874259522e-01,5.798442712770429e-01,-2.539176910899292e-01,-4.193672105590970e-03
-4.250398785330607e-01,5.082289570280598e-01,-1.197060837564955e-01,-2.958395242481078e-01,-3.193795476862766e-01,5.073202977166833e-02
-1.094790770842575e+00,-4.601560972865605e-01,4.372438610862622e-02,2.255096012617343e-01,-5.030942499370664e-01,-1.986727078540186e-02
-2.042992968959461e+00,-2.385111871185204e-01,1.309043141119574e-01,8.813331177966037e-02,-6.150057594990646e-01,-1.329633597231473e-02
3.798453953293883e-01,1.691988638424796e+00,-1.131462812561077e-01,-6.159837917280025e-01,9.629459390883242e-02,3.320048179316015e-03
-3.152889228196805e+00,2.262947160380539e+00,1.825645748763596e-02,-3.137364178431393e-01,-4.545362265285940e-01,3.253535997395028e-04
-6.050430545448071e-01,1.111598299359889e+00,-3.419318541703966e-02,-5.052127738675429e-01,-2.930308081819027e-01,1.846434795497561e-02
-7.287475337474345e-01,-9.546296496214132e-02,3.949344523772890e-02,8.831530569015172e-02,-4.383390805444478e-01,-2.897697163435387e-02
2.190311481330141e+00,-1.723538069150660e+00,-5.796702973107347e-02,3.675099368319148e-01,4.847417503346899e-01,2.344550010471736e-03
3.981472898986774e+00,2.311120470886771e+00,9.225062277062902e-02,-2.614488769217618e-01,4.396198878408432e-01,-4.402893244968184e-04
-1.954408339186652e+00,-1.796759668964872e+00,1.474427594140532e-01,4.225288678601845e-01,-4.450731053675394e-01,-9.934846096663993e-03
1.395625476486497e+00,-8.264581995396334e-01,3.856530854340314e-02,2.684328315063514e-01,5.362798973591559e-01,-1.518371875678443e-02
4.982072982150558e-01,7.096534852889603e-01,1.169723986714081e-01,-4.354975147260918e-01,2.781137178709563e-01,-5.912328736283727e-02
1.737941606035411e+00,2.135101571739948e+00,5.268515623298533e-02,-5.294317753810130e-01,3.344358522074353e-01,1.202547450136757e-02
-3.339837450579320e-01,-5.561265868407014e-01,7.566489727765309e-02,4.350787641213117e-01,-1.825903891711061e-01,-4.276594019667043e-02
-2.002221028711647e+00,9.375714830643902e-01,1.464160693737666e-01,-2.524020861331958e-01,-5.687057181200431e-01,-1.469764587700260e-02
-3.167153871710181e-01,-4.752773664564202e-01,-9.521668407084787e-03,3.791893082336484e-01,-2.140964371472157e-01,4.140999692491406e-02
1.161237429062554e-01,-1.825678753767511e+00,-1.169792208533958e-02,6.158613497750107e-01,5.113662679882539e-02,-8.345271050962253e-03
6.053844677729049e-01,-8.711732959366797e-01,-9.745649874907354e-02,4.549103780167046e-01,3.715957581019494e-01,4.857743621177413e-02
-1.961814459674796e-01,-7.029659805369923e-01,1.106177623937912e-01,4.929706256201142e-01,-7.688261902401838e-02,-6.690461499357106e-02
-2.800275366731949e-01,5.749270483099163e-01,-1.342863948625576e-01,-4.089250785969806e-01,-1.712791549217361e-01,6.773492776493800e-02
7.107502067561330e-01,-3.134430394269138e+00,-8.343629426086158e-02,5.752580281173032e-01,1.399449357753274e-01,7.528946823123076e-03
1.463574159125657e-01,8.819416874759388e-01,1.269711872590162e-01,-5.032686950553390e-01,9.383737212370798e-02,-4.124703867891288e-02
-7.813076844178484e-01,1.801879604265823e+00,1.441137237755937e-01,-5.606148965363900e-01,-2.647066662963013e-01,-1.100510904188246e-02
1.420874197953875e-01,1.083091592368408e+00,1.461670914296754e-01,-5.698703073036031e-01,3.490910553989657e-02,-6.052847699270892e-02
-1.795252186604107e+00,7.682335390537105e-01,9.934625063570232e-02,-2.534416823920548e-01,-6.280146975319497e-01,1.499973941984980e-02
2.904877944737601e-01,-1.461606164024224e-01,-4.841484841040419e-02,1.406700036378846e-01,2.125418495770646e-01,5.297725629795928e-02
1.250771931202434e+00,8.353405313363864e-01,1.054746482575293e-01,-3.297262944820089e-01,5.617443789419281e-01,-1.286737210323534e-02
-3.640751144864806e-01,-5.988728122476308e-02,-1.234922137990993e-01,4.048230574831946e-02,-3.147201809945653e-01,1.018298165267772e-01
-2.303863597736013e+00,6.263134511486198e-01,-1.042998960526939e-01,-1.577359338342793e-01,-6.279700269478665e-01,1.473165637864569e-02
-1.307687261659352e+00,3.898834221998925e-01,-1.489855666088684e-01,-1.653848185075638e-01,-5.717473595532453e-01,3.514190271209405e-02
-8.889902282579044e-02,-1.280160170633258e+00,-7.805028856839249e-03,5.671323982897905e-01,9.016104601488351e-03,5.023447285125619e-03
-1.151830534927158e+00,9.981153116273155e-01,1.242381116546055e-01,-3.674387905909650e-01,-4.635357700174650e-01,-3.538757233135476e-02
2.501909922687088e+00,3.925255995273920e+00,9.017687559719288e-02,-4.315290157675254e-01,2.689071413114491e-01,-5.991822062209847e-04
2.013492221864115e+00,-1.321874103364337e+00,-7.116618311825158e-02,3.270500276745940e-01,5.294236862169941e-01,7.701464594429747e-03
1.167436807249364e+00,-5.833113054475445e-01,-1.808690705151047e-02,2.793086344197476e-01,5.419163822726537e-01,-3.027294948579262e-02
1.832721866696752e+00,1.134145033362679e+00,-1.065140734727275e-01,-3.352151390553040e-01,5.192216099289937e-01,7.026667844142505e-03
1.211050570213991e+00,-9.256626924573215e-01,4.016518874802372e-02,3.614694557876516e-01,4.812671377062051e-01,-5.618169551501523e-02
6.403559945212990e-01,-1.791529213493636e+00,-1.331312081449895e-01,5.845128465757599e-01,2.235998891349149e-01,1.311752788697272e-02
4.366070950289126e-01,-3.915664764759624e-01,-7.152462425109761e-02,2.767176485577834e-01,2.971355668207856e-01,-1.949890776264880e-02
-8.554802657910596e-02,1.940854710846951e-01,-1.449931257078844e-01,-1.784818171486769e-01,-1.007040573680116e-01,8.675661423393609e-02
-1.600445281413569e+00,-2.421765642474824e+00,7.822983014683384e-02,5.049623506811448e-01,-3.247066020130527e-01,-3.993136677099831e-03
-1.231387042424087e+00,-1.804926562115578e+00,6.215395258017659e-02,5.266095596057861e-01,-3.397085625449422e-01,-2.408580433884823e-03
-3.558783246244847e-02,-6.415674884879297e-02,-9.434414507888690e-02,8.592359169483746e-02,-2.252288389601100e-02,4.773484110174162e-02
6.638898192216214e-02,-1.772459001352791e+00,-1.291107899017520e-01,6.270582296969819e-01,2.528430296523073e-02,2.634888493471799e-02
-1.860776414334657e+00,-9.761922927861271e-01,-5.754024394007999e-02,3.046584773983785e-01,-5.470926231315779e-01,7.993314045659743e-03
1.212837559114688e+00,-1.117735949647707e+00,3.407595601256958e-02,3.750308235396425e-01,4.767335774079189e-01,-7.918482140788061e-03
-5.190392209381579e-01,4.176959053308052e-01,-1.347692596250348e-01,-2.199569553311345e-01,-3.550215524450506e-01,6.550235241288828e-02
-4.924244195697487e-01,-2.150732185606545e+00,1.408397284236550e-01,5.996347664010211e-01,-1.306605861189371e-01,-2.519081914161385e-02
5.110541477285995e-01,9.203221245636813e-01,-1.305221579758909e-01,-4.694692473481225e-01,2.094184502107776e-01,3.846578919261550e-02
5.879512334962138e-01,-1.012970718899419e-01,1.445565669373104e-01,6.342445664636810e-02,4.305065902143778e-01,-7.029974271047038e-02
-9.034206605102288e-01,-8.822816612154109e-01,-1.328930140234614e-01,4.074843067575282e-01,-3.952138215645550e-01,3.040895449288102e-02
-1.298924228139521e-01,-6.381880749157384e-01,9.471627939451253e-02,4.227485085448195e-01,3.075930778628128e-02,-6.991480703627155e-02
