x,y,z,vx,vy,vz
-7.521920201352668e-01,-2.182218661346586e+00,1.059341953744888e-01,6.838105714683486e-01,-1.288860542966775e-01,-1.879555837657794e-02
-4.879300636306051e-01,3.282100320942851e-01,-5.860401409215748e-02,9.969737083993352e-03,-6.007579106782641e-01,2.527657039498602e-01
-9.803610372956849e-01,-6.358127690033314e-01,1.865133771636818e-02,3.485016080403884e-01,-3.540499999141964e-01,-1.080756369406871e-01
-1.980298563697740e+00,-4.780852617432448e-01,1.149921643052313e-01,2.249144820681272e-01,-5.795020665951286e-01,-6.613127220212034e-02
1.186836444478817e-01,1.672966308874817e+00,-1.121068719294027e-01,-6.817769060552401e-01,-2.301737104350368e-01,-7.208602962878975e-04
-3.265777627632848e+00,2.073773812253338e+00,1.864467559142780e-02,-2.501208471202969e-01,-4.908608865780267e-01,1.596915587226179e-03
-7.965284337501467e-01,9.598265888870265e-01,-1.138378113540313e-02,-4.505538500935246e-01,-4.779597249962118e-01,9.956440178694281e-02
-6.527739862928709e-01,-2.376365236154479e-01,6.305842429501578e-04,2.498587770443062e-01,-1.879753686997133e-01,-1.762427290818319e-01
2.320888741945490e+00,-1.519212477762076e+00,-5.515677281553555e-02,2.844524844338222e-01,5.355563035405824e-01,1.166172912962834e-02
3.869539681638474e+00,2.481877585769944e+00,9.172112847701556e-02,-2.980755144675826e-01,4.138212980817832e-01,-2.208262694955746e-03
-1.772226310473672e+00,-1.960560389492611e+00,1.354278587814930e-01,4.872024729432760e-01,-3.724217213146738e-01,-5.033652418435013e-02
1.451509246345457e+00,-5.959011156407452e-01,2.066981730679598e-02,4.638505859147232e-03,6.082341206274641e-01,-7.316313991085370e-02
2.792183741636929e-01,7.794845435290075e-01,5.062807396706486e-02,-5.802261199875284e-01,2.701913285849026e-03,-2.059896383064060e-01
1.501470693046314e+00,2.238252564588086e+00,5.690007969797523e-02,-5.463947973280521e-01,2.563797466030544e-01,-2.297476574163529e-02
-9.234814211396486e-02,-5.509492554632485e-01,1.277939815656401e-02,6.938779673508562e-01,2.243648748203922e-01,-2.750607120643748e-01
-2.080116543538109e+00,7.017709953541245e-01,1.289911005750373e-01,-1.356841011015789e-01,-6.082695035270260e-01,-7.183561931119220e-02
-1.165256942241119e-01,-5.381632202270437e-01,4.055459380530269e-02,6.117922934227235e-01,-1.722154480747267e-01,7.348124029374234e-02
3.576514064773693e-01,-1.779089180569454e+00,-2.272945286954352e-02,5.841991502226942e-01,1.831696376189142e-01,-5.159543569399448e-02
7.779441024251188e-01,-6.367320681343382e-01,-4.224173366639772e-02,4.382653364652173e-01,8.342469466362356e-01,1.944055802877173e-01
3.913195675004336e-02,-6.526111175811337e-01,3.102653844711019e-02,6.265915786969527e-01,4.406016270258405e-01,-3.271763694228871e-01
-4.089373470687431e-01,4.488532875209386e-01,-6.195588964927509e-02,-1.152823728346934e-01,-5.539077414477408e-01,2.965698736900717e-01
9.381855115916699e-01,-3.062590826748328e+00,-7.429862014628914e-02,5.610487354629130e-01,2.190611342418373e-01,3.844084413161671e-02
-6.501334710005591e-02,9.100689436010939e-01,7.791295280864066e-02,-5.685863465808711e-01,7.091434905191056e-02,-2.042432378915163e-01
-9.893944213567729e-01,1.668335735655370e+00,1.309810366139763e-01,-4.757562674907194e-01,-4.019602169121884e-01,-5.432652815986166e-02
-1.167497972868621e-01,1.032783190158363e+00,7.475252612876530e-02,-7.025406139452446e-01,-3.841523509735845e-01,-2.686508139777562e-01
-1.874188698018426e+00,4.883482637176297e-01,1.004191043239186e-01,-9.987972669422071e-02,-6.581088026553868e-01,-7.860368835926292e-02
