x,y,z,vx,vy,vz
-1.033044565658579e+00,-2.091979687115522e+00,1.108994499934551e-01,5.671859453190260e-01,-2.685465196875080e-01,-2.096758339630051e-03
-4.095099217805218e-01,5.234332759417378e-01,-1.216077069268048e-01,-3.247045097482466e-01,-2.886687452151121e-01,2.535595109433315e-02
-1.105673533724954e+00,-4.346730465348570e-01,4.446686571966082e-02,2.096557078116028e-01,-5.159839397166243e-01,-9.890426056854621e-03
-2.046968247307975e+00,-2.076787133511606e-01,1.314030719948469e-01,7.085536362175301e-02,-6.181686581159141e-01,-6.651033889383164e-03
4.103884233185108e-01,1.686415751829170e+00,-1.132747357746289e-01,-6.055579140976072e-01,1.263412291758078e-01,1.727336423393401e-03
-3.137008933695926e+00,2.285556095107255e+00,1.824427028426943e-02,-3.214485678112257e-01,-4.497981465843783e-01,1.623512716277119e-04
-5.796347618912904e-01,1.125730175274455e+00,-3.488504359471995e-02,-5.109300350230622e-01,-2.721735188720126e-01,9.224578252490016e-03
-7.324607661401145e-01,-7.325330101130277e-02,4.057561589765967e-02,6.007986757456507e-02,-4.493230409056397e-01,-1.442357198909570e-02
2.171684682789742e+00,-1.747604401716269e+00,-5.805490281315041e-02,3.775225666824087e-01,4.778531065400315e-01,1.171179507309865e-03
3.994429601333112e+00,2.289061995397284e+00,9.226712695352077e-02,-2.568128381033262e-01,4.427033411152116e-01,-2.200071979278864e-04
-1.975322316907609e+00,-1.774292399931594e+00,1.478149387776072e-01,4.139824302140534e-01,-4.535533253945278e-01,-4.959906541788145e-03
1.381432789004034e+00,-8.529807636009566e-01,3.913552950899962e-02,2.990896746867713e-01,5.243488525411710e-01,-7.607135043337022e-03
5.193909837791584e-01,6.953421365226437e-01,1.191796848619002e-01,-4.124276570880527e-01,2.940297850453064e-01,-2.940440386077175e-02
1.763557481247711e+00,2.117566652303747e+00,5.224604305225893e-02,-4.964633115033827e-01,3.659636457874644e-01,5.828683020130344e-03
-3.547221707546382e-01,-5.461378115235697e-01,7.725668932600949e-02,3.945823885746542e-01,-2.158619600968373e-01,-2.118699175041168e-02
-1.989249219055818e+00,9.658655515494005e-01,1.469679483203012e-01,-2.664010568249799e-01,-5.629776947448937e-01,-7.362866845010922e-03
-3.349046177601002e-01,-4.641417901190406e-01,-1.105661677161701e-02,3.483026787211215e-01,-2.308281998955831e-01,2.041398668570076e-02
8.528941553649580e-02,-1.827827746377167e+00,-1.138651527074462e-02,6.173130275615890e-01,3.479473244351262e-02,-4.146812599163770e-03
5.825512507137052e-01,-8.886547026269630e-01,-9.927655492015888e-02,4.579897874045168e-01,3.280339121722778e-01,2.425714553136302e-02
-2.201079766339268e-01,-6.981486766401962e-01,1.131245450264810e-01,4.635681246443060e-01,-1.150201053377765e-01,-3.341315677199255e-02
-2.597837264637584e-01,5.834075134871290e-01,-1.368256590849962e-01,-4.017308785617700e-01,-1.667148165344448e-01,3.385152875413264e-02
6.819507811552709e-01,-3.141178299888930e+00,-8.371831153938819e-02,5.766798739188078e-01,1.299567024570153e-01,3.758404063231427e-03
1.713853521396593e-01,8.770424354296955e-01,1.285187988998725e-01,-4.977335033435132e-01,1.022188981479489e-01,-2.063647857444032e-02
-7.530472708701565e-01,1.814675900471780e+00,1.445264362276094e-01,-5.696394599860883e-01,-2.470864052306724e-01,-5.502227098082714e-03
1.701895143321329e-01,1.080532729105351e+00,1.484348690419980e-01,-5.541462512076554e-01,6.710601743980706e-02,-3.023591425677769e-02
-1.782461811051786e+00,7.987730030141240e-01,9.881265635430192e-02,-2.584090599400377e-01,-5.948521606855142e-01,7.042339538061381e-03
2.834034850356136e-01,-1.571309638918641e-01,-5.039946744957136e-02,1.429735452707027e-01,2.258417705532841e-01,2.645830050523059e-02
1.267064302988571e+00,8.079534688020825e-01,1.059629347880504e-01,-3.213319986388132e-01,5.356545566880196e-01,-6.548183122294892e-03
-3.659010005098332e-01,-4.429641361018791e-02,-1.272887889601275e-01,3.234519045943216e-02,-3.092822864037015e-01,5.055632732892919e-02
-2.295709876775221e+00,6.572950275301460e-01,-1.048503243925246e-01,-1.683806483424972e-01,-6.114803385380960e-01,7.332798532837812e-03
-1.299087281747586e+00,4.182576162977094e-01,-1.503023232828222e-01,-1.785696572194457e-01,-5.630512714448404e-01,1.755359182003274e-02
-1.173507562401543e-01,-1.279672815781055e+00,-7.996387239278327e-03,5.704712457002338e-01,-2.834890590108010e-02,2.563782064269595e-03
-1.132896485119356e+00,1.020993011315836e+00,1.255635712481644e-01,-3.896771991059642e-01,-4.513962946732383e-01,-1.766897586001492e-02
2.523423559043623e+00,3.911691278085112e+00,9.019931927791697e-02,-4.290031075562176e-01,2.736716242537224e-01,-2.990747512871660e-04
1.996797728309116e+00,-1.348108981334509e+00,-7.145491229875052e-02,3.406633921714864e-01,5.199041700377197e-01,3.849716216799528e-03
1.153354650969863e+00,-6.099608018205354e-01,-1.692051328449640e-02,2.818846280456543e-01,5.239070488311430e-01,-1.556444530833723e-02
1.849206421783472e+00,1.107923475048113e+00,-1.067780111846564e-01,-3.240960129847394e-01,5.295405717297106e-01,3.522563891892546e-03
