x,y,z,vx,vy,vz
-8.191332014812458e-01,-2.167651333271156e+00,1.076737415756877e-01,6.557767079578439e-01,-1.619990541546624e-01,-1.581430149809091e-02
-4.840706894359782e-01,3.839500116453446e-01,-8.149077693396249e-02,-8.348252528546089e-02,-5.172765792283290e-01,2.039776763908459e-01
-1.013467937514013e+00,-5.976757501302954e-01,2.831233694652689e-02,3.155941870608161e-01,-4.048951534404043e-01,-8.482186161501785e-02
-2.001093841732591e+00,-4.195789510419167e-01,1.209501232800990e-01,1.909501347537473e-01,-5.902707353885557e-01,-5.300522808875818e-02
1.864363110543433e-01,1.690889349654286e+00,-1.116754839745479e-01,-6.708236882256147e-01,-1.232296061126069e-01,4.813920105820954e-04
-3.239951761944553e+00,2.122420551135045e+00,1.850010451861956e-02,-2.663434532722924e-01,-4.820331557133522e-01,1.291279578249287e-03
-7.507675224902679e-01,1.004696968709408e+00,-2.013841809758268e-02,-4.648300938306532e-01,-4.230535633188020e-01,7.655155622198720e-02
-6.779843065894352e-01,-2.117505135049719e-01,1.629522317019360e-02,2.403816187220714e-01,-3.085070788030354e-01,-1.337603320179266e-01
2.291375500747017e+00,-1.572175632003386e+00,-5.620837511689719e-02,3.057251402565978e-01,5.235823640932085e-01,9.362262886101596e-03
3.898893925984580e+00,2.440162041186531e+00,9.191983392220925e-02,-2.889963240246013e-01,4.204585116363909e-01,-1.765829854570856e-03
-1.820176626735295e+00,-1.922361127340344e+00,1.399499235025439e-01,4.716882506955402e-01,-3.914175764529524e-01,-4.012539674784198e-02
1.447539089100605e+00,-6.561207294006733e-01,2.730856752192190e-02,7.414979746845098e-02,5.950878237491590e-01,-5.938573318318477e-02
3.394329779185447e-01,7.744086667401244e-01,7.162471988518471e-02,-6.179257517208202e-01,1.064620448723777e-01,-2.156949116321656e-01
1.557751427072100e+00,2.212888525204586e+00,5.824576052790546e-02,-5.812787512698887e-01,2.490800169714529e-01,-3.232473045233138e-03
-1.634767803004402e-01,-5.709111265807820e-01,3.964132842072116e-02,7.048508877637540e-01,1.378743608985037e-01,-2.280476633753979e-01
-2.065045876585998e+00,7.621698777732591e-01,1.354827061687873e-01,-1.656112435494217e-01,-5.995090268248809e-01,-5.790836193218373e-02
