x,y,z,vx,vy,vz
-1.628137953934726e+00,2.396989813048991e+00,-8.734480605060962e-02,-1.474554884041823e-01,-9.267020716028566e-01,1.375191631538152e-02
3.562164593858728e-01,3.266500707397731e-01,-1.296330616410977e-02,5.768757106443154e-01,1.557418193332448e+00,3.504222811119370e-01
6.746814609504164e-01,7.987261149610232e-01,-1.599999938763152e-02,-7.556142240088787e-01,-2.664766443681852e-01,-3.015181072121862e-01
5.627382735632072e-02,4.039904231082034e-01,-3.073593508862544e-03,-8.607232051729785e-01,-8.706572208529237e-02,3.655976424354331e-01
1.675330661796494e-01,-1.377817936168130e+00,6.650965162235989e-02,1.252208009424205e+00,9.966062863890134e-03,2.094279892108942e-01
3.526901998505830e-01,5.335451332847324e-01,2.871615333611087e-03,3.252991764917826e-01,-5.487846374228049e-01,2.830815563136755e-01
2.460249662640126e+00,-1.233740524170842e+00,-1.082132538793332e-01,-1.028154806719807e-01,7.820769980268243e-01,-3.249706052589246e-02
-9.158976734381568e-01,3.128312715107704e+00,-5.637020449104674e-03,-7.295271733810931e-01,-3.156881694520530e-01,-4.899762127798848e-02
7.583094715385151e-02,-1.200640632377556e+00,-8.955599782927147e-02,7.542600435300595e-01,5.885845297868875e-02,5.149191559868690e-02
-2.056127615994623e+00,2.052207980767539e+00,2.992055376979638e-02,-1.201977920390208e-01,-4.963841445157954e-01,-1.486970344375569e-01
3.710581093128520e-01,4.585169573587471e-01,2.568013262022596e-02,-7.784446676762653e-01,-1.647738052301778e-01,1.339607304205643e-01
1.329887910292357e+00,2.269559495579078e-01,-1.292688245274104e-02,7.436949714467819e-01,1.556039686742072e+00,-2.088627928536445e-01
1.557278435616565e+00,5.906040352253817e-01,-5.961277991487100e-02,-2.094415671273676e-01,7.699998985165062e-01,-9.178137483108299e-03
5.911054704790737e-01,6.759291375425274e-01,-3.190170544989169e-02,-7.986962807089352e-01,7.638835807811344e-01,-2.781038529643630e-02
1.391654865894192e+00,5.635355569396369e-01,-6.397974769603450e-02,-1.826773548788455e-01,1.374539321429842e+00,-3.073397979358052e-01
-1.264310274018169e+00,-3.582798237758656e+00,3.789602900098384e-02,7.215140096897159e-01,5.354400605847143e-03,7.127215674861037e-02
-2.236910657009777e+00,6.316302717058868e-01,6.256114308262503e-02,-3.077908896820422e-02,-8.523796032570846e-01,3.336791462509501e-02
4.485055731675569e-02,4.353589291263040e-01,-1.803069308052059e-02,-5.619871396458923e-01,-6.740924911164827e-01,3.335363839208112e-01
-5.535482201335693e-01,-3.369302733518115e-02,-1.318901068029439e-02,-2.466404176962983e-01,-9.411228986663590e-02,9.050448287178922e-01
-5.456773405884624e-04,-2.314719890026558e-01,-2.649131084511247e-02,1.265135717478666e-01,2.526906166591582e-02,3.056807858980451e-02
1.270148479074713e+00,9.787161153642662e-02,-6.575774794719388e-02,-2.383191986101610e-01,1.075141795342550e+00,3.622423286698386e-01
1.309944373007815e+00,6.759087014727002e-01,1.911823498389619e-02,2.891353833983272e-01,1.796125646122831e+00,-3.982277996808860e-02
-4.256341449665086e-01,-4.154685586300027e-03,-2.875398916054724e-02,5.422220380728887e-01,-6.693526205882530e-01,-5.128866830023409e-01
