x,y,z,vx,vy,vz
-8.833990769517153e-01,-2.149855783553705e+00,1.090826452497347e-01,6.298800874207930e-01,-1.936062152895708e-01,-1.224943069246854e-02
-4.715677238585954e-01,4.319674390083418e-01,-9.935303063073497e-02,-1.636464845756895e-01,-4.454893289071722e-01,1.530337017549999e-01
-1.043547854024227e+00,-5.551353509617741e-01,3.563099929900680e-02,2.861352008533138e-01,-4.436371474647823e-01,-6.188293178285476e-02
-2.018484737789648e+00,-3.600646484130173e-01,1.255914872168164e-01,1.568304466341280e-01,-5.996964579322390e-01,-3.980860686270731e-02
2.527205071226742e-01,1.698537081182179e+00,-1.120718659567529e-01,-6.542289759734156e-01,-3.623760626216158e-02,5.647728572985968e-03
-3.212514241822823e+00,2.170176309264581e+00,1.838669048913554e-02,-2.823538605567237e-01,-4.730400295960908e-01,9.748019879216079e-04
-7.035629697758726e-01,1.044646883113537e+00,-2.675865209377457e-02,-4.791466465929090e-01,-3.772155605697632e-01,5.626382049090836e-02
-7.000415135325466e-01,-1.773355572954235e-01,2.754033687457265e-02,1.967036438401011e-01,-3.713623855517261e-01,-9.322441043929337e-02
2.259752328796562e+00,-1.623916641931022e+00,-5.702855091047694e-02,3.266531920510666e-01,5.111159805512837e-01,7.035840018069748e-03
3.927337648922173e+00,2.397788999913828e+00,9.207429672191327e-02,-2.798652210011320e-01,4.269710703226381e-01,-1.323487803578233e-03
-1.866552675881368e+00,-1.882291099992138e+00,1.434548993784450e-01,4.557228064366642e-01,-4.098437862583306e-01,-2.999275160020828e-02
1.436741998826779e+00,-7.148262788834056e-01,3.253152039485244e-02,1.411776099190286e-01,5.782166371086447e-01,-4.496570115314363e-02
3.999158618878259e-01,7.582812416498598e-01,9.266477057558596e-02,-5.643022231127724e-01,2.002159436124664e-01,-1.862608031010724e-01
1.618103084214833e+00,2.188745816916058e+00,5.741913774362265e-02,-6.274331345317831e-01,2.321404321127994e-01,2.075873432856253e-02
-2.299439429685032e-01,-5.769363196726438e-01,5.769892809471554e-02,6.130560310751094e-01,-7.235268440075228e-03,-1.440046134537743e-01
-2.047006426957148e+00,8.216531937016375e-01,1.405656172967943e-01,-1.950543290618415e-01,-5.899647190669313e-01,-4.369092164060779e-02
-2.284248743009714e-01,-5.107905996380742e-01,8.279319535806772e-03,5.047005510670129e-01,-1.401149913783007e-01,1.439523078491028e-01
2.384080606146415e-01,-1.808940374419602e+00,-1.513182225925316e-02,6.054632405620536e-01,1.162405209491125e-01,-2.660271373702165e-02
6.944395033780894e-01,-7.782263786195222e-01,-7.799919686853633e-02,4.315924881317458e-01,5.687547738089310e-01,1.453938962275995e-01
-8.659311640357155e-02,-7.013705399816836e-01,8.384438411638301e-02,5.983230246511896e-01,1.048339090539845e-01,-1.999831494094360e-01
-3.611212604073720e-01,5.341538603373193e-01,-1.084730806398828e-01,-3.474385068213655e-01,-2.973509547131948e-01,1.797163525555954e-01
8.251781774944560e-01,-3.102464717420508e+00,-8.041117175108112e-02,5.687857516017640e-01,1.796430726026344e-01,2.278072384465049e-02
4.353557066265483e-02,8.976463388320125e-01,1.105326463647917e-01,-5.256545158410499e-01,6.564610821362481e-02,-1.227804834181439e-01
-8.895872019744524e-01,1.741968062574452e+00,1.397175682848492e-01,-5.211385299903865e-01,-3.340975516693705e-01,-3.290577525249594e-02
2.148921978623467e-02,1.076443321963916e+00,1.218322721559150e-01,-6.410071311233967e-01,-1.073377258023025e-01,-1.830717267769387e-01
-1.843682971584621e+00,6.277410533420310e-01,1.060514987179924e-01,-2.113006451657461e-01,-7.415195058053593e-01,2.725745649911667e-02
3.182175774248826e-01,-1.099898968622260e-01,-2.731844194957921e-02,1.391309220562524e-01,1.412908616171593e-01,1.537062378530545e-01
1.180104190044578e+00,9.546904266061179e-01,9.736217597067369e-02,-3.987433763457123e-01,5.688329721884134e-01,-1.014953070595201e-01
-3.533516242809051e-01,-1.266781697463392e-01,-8.122660299675598e-02,6.610661358372306e-02,-3.699421457404032e-01,3.250017289627324e-01
-2.331187576501837e+00,4.935008695891506e-01,-9.826843867601379e-02,-1.161787689048336e-01,-7.059135772966509e-01,4.660253393371301e-02
-1.335460443045116e+00,2.722738889539895e-01,-1.348594881277541e-01,-1.124377548843215e-01,-6.035266654466712e-01,1.065658947693666e-01
2.248186110971951e-02,-1.263070540552229e+00,-5.959010230803184e-03,5.431874837949376e-01,1.640472040986035e-01,1.253420298239051e-02
-1.216019695284879e+00,9.008083035216682e-01,1.099795240713959e-01,-2.723181999857687e-01,-5.083492079825467e-01,-1.078216480989479e-01
2.414612467717238e+00,3.977117690355093e+00,8.993630221256252e-02,-4.413650461673769e-01,2.496497826142522e-01,-1.809414281301426e-03
2.073358529462245e+00,-1.212269535280581e+00,-6.807945331138254e-02,2.711586184304688e-01,5.662807730280873e-01,2.320728332144090e-02
1.206769819241398e+00,-4.693789008457908e-01,-2.534818289379483e-02,3.635351857054952e-02,5.867814572456164e-01,-2.183980658572338e-02
1.761329208054605e+00,1.233719385509523e+00,-1.037156715782071e-01,-3.782996601434621e-01,4.758993673388734e-01,2.093802993995936e-02
1.280717268022798e+00,-8.266007235893310e-01,1.674184734460929e-02,3.083885383594758e-01,5.198251385054103e-01,-1.467712861585381e-01
7.556605325035946e-01,-1.740100553058683e+00,-1.279271017595558e-01,5.676150966017954e-01,2.904644105180012e-01,3.871756689847492e-02
4.920237164245492e-01,-3.361794757925792e-01,-8.237868722185443e-02,2.899791081215166e-01,2.435951709047555e-01,-4.802581716771624e-02
-1.165614427620663e-01,1.671639604320967e-01,-1.102178099195734e-01,-1.271721584955846e-01,-1.666538896288084e-01,2.609749330772091e-01
-1.498088963679468e+00,-2.482783426676916e+00,7.662462045221538e-02,5.183218373515976e-01,-2.852509768491898e-01,-1.208086569790764e-02
-1.121847724029672e+00,-1.867423151495073e+00,6.117021130825232e-02,5.685159856126307e-01,-2.847069071552407e-01,-7.494997246860765e-03
-1.654243201210817e-02,-6.198490690096517e-02,-7.500991531232673e-02,1.024293616889849e-01,4.693872042133317e-02,1.469799426418325e-01
1.937088490014915e-01,-1.762663879598885e+00,-1.184671939005612e-01,6.456670447265771e-01,7.230599441276243e-02,8.077697375106868e-02
-1.793634988423734e+00,-1.082711495249979e+00,-5.436986873325242e-02,3.665195582398745e-01,-5.174948896174844e-01,2.358885228089722e-02
1.276256410476492e+00,-1.013969680545130e+00,3.093616234313735e-02,2.563667237008063e-01,5.603829800417528e-01,-2.338224551505629e-02
-5.462057160392809e-01,3.412819464529176e-01,-1.079907062901488e-01,-4.104437986827011e-02,-4.045727015805338e-01,2.064299154890186e-01
-3.738023066227790e-01,-2.171758956920380e+00,1.306063894141053e-01,5.839808627026598e-01,-7.971415580824666e-02,-7.830526400703053e-02
4.167256379898484e-01,9.450410028188015e-01,-1.151694050068203e-01,-4.611753763576575e-01,2.450424728111271e-02,1.151535029490761e-01
5.931852363340292e-01,-9.074010778764331e-03,1.165993680528082e-01,-1.312051082459208e-02,4.929737490504579e-01,-2.075658157077713e-01
-8.171929713589379e-01,-9.544743854835329e-01,-1.207122265651803e-01,4.533770294912945e-01,-3.259005069657818e-01,9.153817167298273e-02
-4.728530534306757e-02,-6.128819227551363e-01,7.422418011538658e-02,3.964501925343619e-01,1.909076545415648e-01,-1.158262381905464e-01
1.237639340926533e+00,1.452105542965820e+00,1.090741981038034e-01,-4.917362798627031e-01,4.057916256537700e-01,-4.843043319754931e-02
1.226445949455306e+00,1.463154319494311e-01,-1.339008534598510e-01,-4.619447875598080e-02,5.663032431114872e-01,1.024340354217571e-01
