x,y,z,vx,vy,vz
-8.515889010753144e-01,-2.159148318021016e+00,1.084229214847717e-01,6.426587547046946e-01,-1.779554971745123e-01,-1.408903674046995e-02
-4.788184934880750e-01,4.088519345652053e-01,-9.105949017377657e-02,-1.250296557738281e-01,-4.801742736299723e-01,1.786225369677248e-01
-1.028874021097373e+00,-5.768856963679542e-01,3.225887628397538e-02,3.007991651021481e-01,-4.254039916852117e-01,-7.318662352479914e-02
-2.010215789289707e+00,-3.899395228715999e-01,1.234357823887223e-01,1.739089605705680e-01,-5.951430262889944e-01,-4.641363936717439e-02
2.197877741308545e-01,1.695781055183984e+00,-1.118126511633980e-01,-6.628419606833094e-01,-7.647731527892537e-02,3.963819822050364e-03
-3.226433132246397e+00,2.146410840205057e+00,1.843943837918386e-02,-2.743752012172990e-01,-4.775575812953590e-01,1.134140294840212e-03
-7.273447295306338e-01,1.025241090246350e+00,-2.370106016487942e-02,-4.720455271439526e-01,-3.994991440412896e-01,6.620233996191879e-02
-6.895759746663473e-01,-1.953050458731431e-01,2.242225746318215e-02,2.205720694311138e-01,-3.441495620954840e-01,-1.124511370437905e-01
2.275825508895023e+00,-1.598201974133490e+00,-5.664755171367390e-02,3.162317195045415e-01,5.174100992763628e-01,8.201757935797523e-03
3.913229926587982e+00,2.419056928010469e+00,9.200259484004894e-02,-2.844372293759372e-01,4.237304127270344e-01,-1.544627997040297e-03
-1.843564237697009e+00,-1.902556423713884e+00,1.418290635700993e-01,4.637604914607297e-01,-4.007002734820613e-01,-3.504975875901114e-02
1.442978258581106e+00,-6.856850400931016e-01,3.010051411503198e-02,1.079709027382624e-01,5.870554948273220e-01,-5.222952872930541e-02
3.705511699760594e-01,7.675802417698239e-01,8.255132175813462e-02,-6.048288396928118e-01,1.612742509026460e-01,-2.104005069040125e-01
1.587314335129379e+00,2.200579723110215e+00,5.813972327462601e-02,-6.035165714273282e-01,2.414270828852816e-01,8.266227842828020e-03
